Land;Gewässer;Station;Abholdatum / Uhrzeit;Messdatum / Uhrzeit;Durchfluss;Einheit Durchfluss;Pegel;Einheit Pegel;Temperatur;Einheit Temperatur;PH-Wert;Einheit PH-Wert;PH-Gehalt stromaufwärts;Einheit PH-Wert;Kalkgehalt;Einheit Kalkgehalt;Silikatgehalt;Einheit Silikatgehalt
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:10:06;14.08.21 11:07:44;19.0;m³/s;;;;;;;5.1;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:10:06;14.08.21 11:09:45;10.5;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:15:06;14.08.21 11:14:30;50.7;m³/s;207.2;cm;16.4;°C;6.31;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:15:06;14.08.21 11:14:23;36.6;m³/s;;;15.7;°C;6.24;pH;6.21;pH;34.8;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:15:06;14.08.21 11:07:44;19.0;m³/s;;;;;;;5.1;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:15:06;14.08.21 11:14:45;10.5;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:20:06;14.08.21 11:18:30;50.5;m³/s;206.7;cm;16.4;°C;6.29;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:20:06;14.08.21 11:18:24;36.6;m³/s;;;15.6;°C;6.22;pH;6.2;pH;34.8;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:20:06;14.08.21 11:07:44;19.0;m³/s;;;;;;;5.1;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:20:06;14.08.21 11:18:46;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:25:06;14.08.21 11:23:31;50.7;m³/s;207.2;cm;16.4;°C;6.43;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:25:06;14.08.21 11:23:23;36.6;m³/s;;;15.6;°C;6.23;pH;6.2;pH;34.8;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:25:06;14.08.21 11:07:45;19.0;m³/s;;;;;;;5.1;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:25:06;14.08.21 11:23:46;10.6;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:30:05;14.08.21 11:28:29;50.3;m³/s;206.3;cm;16.4;°C;6.38;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:30:05;14.08.21 11:28:53;36.6;m³/s;;;15.6;°C;6.22;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:30:05;14.08.21 11:27:44;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:30:05;14.08.21 11:28:44;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:35:05;14.08.21 11:33:30;50.3;m³/s;206.3;cm;16.4;°C;6.31;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:35:05;14.08.21 11:33:53;37.1;m³/s;;;15.7;°C;6.22;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:35:05;14.08.21 11:27:45;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:35:05;14.08.21 11:33:44;10.4;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:40:05;14.08.21 11:38:30;49.9;m³/s;205.4;cm;16.4;°C;6.45;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:40:05;14.08.21 11:38:53;36.6;m³/s;;;15.6;°C;6.22;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:40:05;14.08.21 11:27:45;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:40:05;14.08.21 11:38:46;10.6;m³/s;;;;;6.29;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:45:05;14.08.21 11:43:31;49.9;m³/s;205.4;cm;16.4;°C;6.38;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:45:05;14.08.21 11:43:54;37.1;m³/s;;;15.6;°C;6.21;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:45:05;14.08.21 11:27:46;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:45:05;14.08.21 11:43:45;10.6;m³/s;;;;;6.29;pH;6.05;pH;20.3;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:50:05;14.08.21 11:48:30;49.8;m³/s;205.0;cm;16.4;°C;6.35;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:50:05;14.08.21 11:48:53;36.6;m³/s;;;15.6;°C;6.22;pH;6.2;pH;34.8;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:50:05;14.08.21 11:47:45;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:50:05;14.08.21 11:48:46;10.4;m³/s;;;;;6.29;pH;6.05;pH;20.3;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 11:55:05;14.08.21 11:53:31;49.6;m³/s;204.6;cm;16.4;°C;6.45;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 11:55:05;14.08.21 11:53:53;36.6;m³/s;;;15.6;°C;6.23;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 11:55:05;14.08.21 11:47:46;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 11:55:05;14.08.21 11:53:45;10.5;m³/s;;;;;6.25;pH;6.05;pH;20.3;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:00:09;14.08.21 11:58:29;49.4;m³/s;204.1;cm;16.4;°C;6.28;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:00:09;14.08.21 11:58:53;36.6;m³/s;;;15.6;°C;6.23;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:00:09;14.08.21 11:47:44;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:00:09;14.08.21 11:58:45;10.4;m³/s;;;;;6.25;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:05:15;14.08.21 12:03:30;49.4;m³/s;204.1;cm;16.4;°C;6.42;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:05:15;14.08.21 12:03:53;37.1;m³/s;;;15.6;°C;6.22;pH;6.19;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:05:15;14.08.21 11:47:45;19.0;m³/s;;;;;;;5.08;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:05:15;14.08.21 12:03:44;10.5;m³/s;;;;;6.25;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:10:15;14.08.21 12:08:30;49.2;m³/s;203.7;cm;16.5;°C;6.3;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:10:15;14.08.21 12:08:53;37.1;m³/s;;;15.6;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:10:15;14.08.21 12:07:46;19.0;m³/s;;;;;;;5.11;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:10:15;14.08.21 12:08:46;10.5;m³/s;;;;;6.29;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:15:05;14.08.21 12:13:31;49.1;m³/s;203.3;cm;16.5;°C;6.43;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:15:05;14.08.21 12:13:54;37.1;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:15:05;14.08.21 12:07:47;19.0;m³/s;;;;;;;5.11;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:15:05;14.08.21 12:13:46;10.4;m³/s;;;;;6.29;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:20:05;14.08.21 12:18:30;48.9;m³/s;202.8;cm;16.5;°C;6.51;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:20:05;14.08.21 12:18:53;36.6;m³/s;;;15.6;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:20:05;14.08.21 12:07:46;19.0;m³/s;;;;;;;5.11;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:20:05;14.08.21 12:18:45;10.5;m³/s;;;;;6.29;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:25:07;14.08.21 12:23:29;48.9;m³/s;202.8;cm;16.5;°C;6.46;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:25:07;14.08.21 12:23:53;37.1;m³/s;;;15.5;°C;6.23;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:25:07;14.08.21 12:07:45;19.0;m³/s;;;;;;;5.11;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:25:07;14.08.21 12:23:44;10.7;m³/s;;;;;6.27;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:30:05;14.08.21 12:28:29;48.9;m³/s;202.8;cm;16.5;°C;6.42;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:30:05;14.08.21 12:28:53;37.1;m³/s;;;15.5;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:30:05;14.08.21 12:07:45;19.0;m³/s;;;;;;;5.11;pH;49.7;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:30:05;14.08.21 12:28:44;10.5;m³/s;;;;;6.27;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:35:07;14.08.21 12:33:31;48.7;m³/s;202.4;cm;16.5;°C;6.35;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:35:07;14.08.21 12:33:53;37.1;m³/s;;;15.6;°C;6.22;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:35:07;14.08.21 12:29:23;19.0;m³/s;;;;;;;5.1;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:35:07;14.08.21 12:33:45;10.4;m³/s;;;;;6.27;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:40:08;14.08.21 12:38:30;48.5;m³/s;202.0;cm;16.5;°C;6.27;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:40:08;14.08.21 12:38:54;37.1;m³/s;;;15.5;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:40:08;14.08.21 12:29:22;19.0;m³/s;;;;;;;5.1;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:40:08;14.08.21 12:38:46;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:45:08;14.08.21 12:43:31;48.5;m³/s;202.0;cm;16.5;°C;6.37;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:45:08;14.08.21 12:43:54;37.1;m³/s;;;15.6;°C;6.23;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:45:08;14.08.21 12:29:23;19.0;m³/s;;;;;;;5.1;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:45:08;14.08.21 12:43:45;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:50:06;14.08.21 12:48:30;48.5;m³/s;202.0;cm;16.5;°C;6.41;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:50:06;14.08.21 12:48:53;37.1;m³/s;;;15.5;°C;6.23;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:50:06;14.08.21 12:29:22;19.0;m³/s;;;;;;;5.1;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:50:06;14.08.21 12:48:46;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 12:55:08;14.08.21 12:53:30;48.4;m³/s;201.6;cm;16.6;°C;6.26;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 12:55:08;14.08.21 12:53:53;37.1;m³/s;;;15.6;°C;6.22;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 12:55:08;14.08.21 12:49:23;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 12:55:08;14.08.21 12:53:45;10.6;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:00:08;14.08.21 12:58:30;48.2;m³/s;201.1;cm;16.6;°C;6.31;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:00:08;14.08.21 12:59:23;37.1;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:00:08;14.08.21 12:49:23;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:00:08;14.08.21 12:58:45;10.4;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:05:20;14.08.21 13:03:31;48.0;m³/s;200.7;cm;16.6;°C;6.41;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:05:20;14.08.21 13:04:23;37.1;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:05:20;14.08.21 12:49:24;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:05:20;14.08.21 13:03:45;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:10:08;14.08.21 13:08:31;47.8;m³/s;200.3;cm;16.6;°C;6.41;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:10:08;14.08.21 13:09:24;37.1;m³/s;;;15.6;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:10:08;14.08.21 13:09:24;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:10:08;14.08.21 13:08:46;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:15:07;14.08.21 13:13:31;47.8;m³/s;200.3;cm;16.6;°C;6.29;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:15:07;14.08.21 13:14:23;37.1;m³/s;;;15.6;°C;6.25;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:15:07;14.08.21 13:09:25;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:15:07;14.08.21 13:13:45;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:20:05;14.08.21 13:18:30;47.8;m³/s;200.3;cm;16.7;°C;6.34;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:20:05;14.08.21 13:19:23;37.5;m³/s;;;15.6;°C;6.25;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:20:05;14.08.21 13:09:24;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:20:05;14.08.21 13:18:45;10.4;m³/s;;;;;6.28;pH;6.04;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:25:05;14.08.21 13:24:30;47.6;m³/s;199.8;cm;16.7;°C;6.29;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:25:05;14.08.21 13:24:23;37.5;m³/s;;;15.6;°C;6.23;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:25:05;14.08.21 13:09:24;19.0;m³/s;;;;;;;5.06;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:25:05;14.08.21 13:23:44;10.4;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:30:06;14.08.21 13:29:30;47.3;m³/s;199.0;cm;16.7;°C;6.34;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:30:06;14.08.21 13:29:23;37.5;m³/s;;;15.6;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:30:06;14.08.21 13:29:25;19.0;m³/s;;;;;;;5.04;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:30:06;14.08.21 13:28:46;10.4;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:35:06;14.08.21 13:34:31;47.1;m³/s;198.5;cm;16.7;°C;6.28;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:35:06;14.08.21 13:34:23;37.5;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:35:06;14.08.21 13:29:26;19.0;m³/s;;;;;;;5.04;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:35:06;14.08.21 13:33:45;10.3;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:40:07;14.08.21 13:39:30;46.9;m³/s;198.1;cm;16.8;°C;6.28;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:40:07;14.08.21 13:39:24;37.5;m³/s;;;15.6;°C;6.24;pH;6.21;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:40:07;14.08.21 13:29:25;19.0;m³/s;;;;;;;5.04;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:40:07;14.08.21 13:38:45;10.5;m³/s;;;;;6.28;pH;6.05;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:45:06;14.08.21 13:44:30;46.9;m³/s;198.1;cm;16.8;°C;6.47;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:45:06;14.08.21 13:44:23;37.5;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:45:06;14.08.21 13:29:25;19.0;m³/s;;;;;;;5.04;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:45:06;14.08.21 13:43:46;10.6;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:50:06;14.08.21 13:49:30;47.1;m³/s;198.5;cm;16.8;°C;6.32;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:50:06;14.08.21 13:49:23;38.0;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:50:06;14.08.21 13:49:25;19.0;m³/s;;;;;;;5.02;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:50:06;14.08.21 13:48:45;10.5;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 13:55:06;14.08.21 13:54:30;46.8;m³/s;197.7;cm;16.9;°C;6.37;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 13:55:06;14.08.21 13:54:23;38.0;m³/s;;;15.6;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 13:55:06;14.08.21 13:49:25;19.0;m³/s;;;;;;;5.02;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 13:55:06;14.08.21 13:53:45;10.5;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 14:00:12;14.08.21 13:59:31;46.4;m³/s;196.8;cm;16.9;°C;6.51;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 14:00:12;14.08.21 13:59:23;38.0;m³/s;;;15.6;°C;6.23;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 14:00:12;14.08.21 13:49:26;19.0;m³/s;;;;;;;5.02;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 14:00:12;14.08.21 13:58:45;10.3;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 14:05:17;14.08.21 14:04:30;46.6;m³/s;197.2;cm;16.9;°C;6.3;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 14:05:17;14.08.21 14:04:23;38.0;m³/s;;;15.5;°C;6.24;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 14:05:17;14.08.21 13:49:25;19.0;m³/s;;;;;;;5.02;pH;49.8;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 14:05:17;14.08.21 14:04:45;10.4;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 14:10:21;14.08.21 14:09:31;46.6;m³/s;197.2;cm;16.9;°C;6.3;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 14:10:21;14.08.21 14:08:53;38.5;m³/s;;;15.5;°C;6.26;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 14:10:21;14.08.21 14:09:27;19.0;m³/s;;;;;;;5.04;pH;49.9;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 14:10:21;14.08.21 14:09:45;10.5;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 14:15:09;14.08.21 14:14:30;46.4;m³/s;196.8;cm;16.9;°C;6.3;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 14:15:09;14.08.21 14:14:23;38.5;m³/s;;;15.6;°C;6.25;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 14:15:09;14.08.21 14:09:26;19.0;m³/s;;;;;;;5.04;pH;49.9;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;14.08.2021 14:15:09;14.08.21 14:14:45;10.3;m³/s;;;;;6.28;pH;6.06;pH;20.2;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;14.08.2021 14:20:07;14.08.21 14:18:30;46.2;m³/s;196.4;cm;16.9;°C;6.36;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;14.08.2021 14:20:07;14.08.21 14:18:23;38.5;m³/s;;;15.5;°C;6.26;pH;6.2;pH;34.9;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;14.08.2021 14:20:07;14.08.21 14:09:26;19.0;m³/s;;;;;;;5.04;pH;49.9;tonn;;
